err,err2,err3,,err4
0.039386324,3.94,-9.48,-0.61,-10.09
0.052556048,5.26,6.75,3.1,9.85
-0.115849741,-11.58,-6.64,-2.05,-8.69
0.045586683,4.56,-4.95,4.02,-0.93
0.029627429,2.96,6.7,-5.47,1.23
0.027223239,2.72,-5.52,-4.73,-10.25
0.047623676,4.76,2.95,7.31,10.26
-0.047078787,-4.71,-3.16,4.38,1.22
-0.030389799,-3.04,4.8,-6.82,-2.02
-0.012087233,-1.21,-3.11,4.07,0.96
-0.043410669,-4.34,4.83,1.86,6.69
0.049527406,4.95,1.05,5.36,6.41
0.044709856,4.47,-4.92,1.1,-3.82
-0.056790941,-5.68,2.26,-5.07,-2.81
0.058397985,5.84,-9.03,0.94,-8.09
0.059074668,5.91,6.73,5.1,11.83
0.026604145,2.66,4.1,-5.33,-1.23
0.051659749,5.17,5.45,0.91,6.36
0.031087404,3.11,5.61,3.76,9.37
-0.075921228,-7.59,1.37,6.74,8.11
0.028702853,2.87,-7.06,5.63,-1.43
-0.019106731,-1.91,7.19,-4.79,2.4
0.021866194,2.19,-7.33,-5.39,-12.72
-0.014322321,-1.43,-7.65,7.41,-0.24
-0.005976587,-0.6,5.09,-4.24,0.85
-0.029603103,-2.96,2.37,-5.03,-2.66
-0.027449093,-2.74,0.27,0.5,0.77
0.025572911,2.56,5.93,-0.72,5.21
0.040665569,4.07,-0.12,-4.16,-4.28
-0.010566829,-1.06,-4.45,5.66,1.21
0.028164089,2.82,-13.76,0.56,-13.2
-0.018907775,-1.89,-0.68,-7.28,-7.96
-0.037604088,-3.76,7.09,6.2,13.29
0.024840115,2.48,-0.55,1.04,0.49
0.057905949,5.79,6.25,5.76,12.01
0.051981036,5.2,5.14,-5.1,0.04
0.072121153,7.21,-5.65,-2.8,-8.45
-0.041623777,-4.16,-6.73,5.51,-1.22
-0.019975188,-2,-8.45,-1.57,-10.02
-0.00577433,-0.58,3.55,-0.88,2.67
0.049839632,4.98,-8,-6.89,-14.89
0.02849221,2.85,-13.12,-4.06,-17.18
-0.061990938,-6.2,6.91,-7.09,-0.18
-0.016660353,-1.67,1.94,-1.09,0.85
0.003386675,0.34,-4.43,-2.64,-7.07
-0.033734002,-3.37,2.59,-2.85,-0.26
-0.026719701,-2.67,5.69,5.01,10.7
0.050253264,5.03,-1.29,-6.91,-8.2
0.051292453,5.13,5.37,4.08,9.45
0.060419352,6.04,3.42,-7.42,-4
-0.034025454,-3.4,-6.15,4.63,-1.52
0.056176961,5.62,-17.76,0.11,-17.65
-0.032158229,-3.22,-4,6.41,2.41
-0.056799038,-5.68,1.23,1.56,2.79
-0.027898644,-2.79,-1.13,3.82,2.69
0.052700348,5.27,2.19,6.77,8.96
-0.009287221,-0.93,-6.14,-2.41,-8.55
0.046540938,4.65,-0.64,6.39,5.75
0.013171465,1.32,3.51,-1.66,1.85
0.001619663,0.16,-1.77,1.24,-0.53
0.045052259,4.51,2.47,-4.93,-2.46
-0.033578439,-3.36,2.06,-1.13,0.93
0.055017257,5.5,3.79,-3.67,0.12
0.048026487,4.8,-2.19,-4.69,-6.88
-0.062921757,-6.29,0.04,5.72,5.76
0.03138426,3.14,-0.4,-3.28,-3.68
0.021644351,2.16,0.15,-0.62,-0.47
0.057984617,5.8,11.99,-7.03,4.96
0.041296511,4.13,-5.25,-2,-7.25
-0.023257068,-2.33,-4.07,7.05,2.98
0.040054082,4.01,-2.7,-6.83,-9.53
0.02162841,2.16,2.89,-7.33,-4.44
-0.118231571,-11.82,-6.96,2.11,-4.85
0.060296232,6.03,1.06,-2.68,-1.62
-0.060760631,-6.08,3.93,-7.49,-3.56
0.053764905,5.38,-3.1,1.73,-1.37
-0.01185974,-1.19,0.7,-0.36,0.34
0.060354552,6.04,5.8,-2.54,3.26
0.025379301,2.54,-4.56,7.33,2.77
0.011561049,1.16,-7.97,4.99,-2.98
-0.03211034,-3.21,3,-4.65,-1.65
0.013950273,1.4,3.47,-0.88,2.59
-0.021351668,-2.14,-3.69,3.59,-0.1
0.024121143,2.41,6.37,-4.1,2.27
0.049113957,4.91,0.96,-3.56,-2.6
0.025171611,2.52,6.23,-0.21,6.02
0.001506174,0.15,-0.97,-0.62,-1.59
-0.028115025,-2.81,-0.86,1.16,0.3
0.054110455,5.41,-0.3,2.03,1.73
-0.017675686,-1.77,-2.91,3.37,0.46
0.019467708,1.95,2.87,-0.51,2.36
-0.041028863,-4.1,-5.07,-5.71,-10.78
-0.047049086,-4.7,-2.78,-6.8,-9.58
-0.061171004,-6.12,-9.05,1.47,-7.58
0.054433239,5.44,6.46,1.02,7.48
0.020485854,2.05,-3.59,0.35,-3.24
0.00796752,0.8,5.03,-0.89,4.14
0.048833397,4.88,-0.7,2.14,1.44
0.074460138,7.45,-3.3,6.5,3.2
0.042234023,4.22,-1.24,5.34,4.1
-0.06157575,-6.16,1.58,7.19,8.77
-0.071802614,-7.18,-0.15,6.42,6.27
-0.033438589,-3.34,-5.32,5.02,-0.3
-0.002472977,-0.25,3.1,-3.55,-0.45
-0.00947621,-0.95,-5.52,-3.94,-9.46
0.053740101,5.37,4.01,0.3,4.31
-0.035771201,-3.58,-4.29,-4.22,-8.51
-0.026299833,-2.63,-0.08,1.31,1.23
0.011313915,1.13,1.93,5.19,7.12
-0.033613444,-3.36,-6.87,-2.89,-9.76
-0.019702843,-1.97,0.83,2.95,3.78
-0.039935953,-3.99,5.94,6.32,12.26
-0.046963216,-4.7,-9.31,2.57,-6.74
-0.061182046,-6.12,-3.68,2.63,-1.05
-0.032269671,-3.23,3.77,4.33,8.1
0.061269629,6.13,-8.22,6.78,-1.44
0.058629064,5.86,2.83,2.45,5.28
0.028982111,2.9,3.83,-3.32,0.51
0.049158252,4.92,3.8,-2.84,0.96
-0.032241875,-3.22,3.31,-0.34,2.97
0.038497451,3.85,2.77,2.38,5.15
-0.082266268,-8.23,2.14,5.6,7.74
-0.048052221,-4.81,1.99,-0.56,1.43
0.054067439,5.41,5.71,-7.1,-1.39
-0.06081451,-6.08,1.56,-5.57,-4.01
0.010541621,1.05,-3.66,6.56,2.9
0.043099077,4.31,-4.13,-5.8,-9.93
0.068004489,6.8,0.02,-0.75,-0.73
-0.021360668,-2.14,-4.33,-2.76,-7.09
0.081393308,8.14,5.93,2.1,8.03
-0.039898585,-3.99,3.41,6.6,10.01
-0.024386771,-2.44,0.95,3.23,4.18
0.059221196,5.92,6.4,0.27,6.67
-0.066976052,-6.7,6.66,3.86,10.52
0.083394494,8.34,-5.55,7.43,1.88
0.048888393,4.89,-4.44,-2.18,-6.62
0.069155715,6.92,-2.55,7.43,4.88
0.029283464,2.93,-16.59,-0.48,-17.07
0.061607246,6.16,-0.65,-4.98,-5.63
-0.025924643,-2.59,-3.04,0.8,-2.24
-0.048035427,-4.8,5.7,-5.81,-0.11
-0.020100318,-2.01,-5.02,7.27,2.25
0.028544314,2.85,6.93,3.32,10.25
-0.093191104,-9.32,-2.08,6.21,4.13
0.044670807,4.47,-0.47,7.54,7.07
-0.008068559,-0.81,4.97,0.71,5.68
-0.027700178,-2.77,4.73,1.17,5.9
-0.032433317,-3.24,5.38,-3.45,1.93
0.001040106,0.1,7.74,1.67,9.41
-0.00756196,-0.76,-4.08,-5.6,-9.68
0.010798094,1.08,-1.64,-1.08,-2.72
0.031672683,3.17,-4.62,3.43,-1.19
-0.07136707,-7.14,3.92,0.92,4.84
0.02699848,2.7,3.76,-5.4,-1.64
0.038704124,3.87,-6.63,3.62,-3.01
-0.021947061,-2.19,5.13,2.87,8
0.039453856,3.95,2.58,4.12,6.7
-0.035935683,-3.59,-4.84,-6.32,-11.16
-0.064813864,-6.48,-3.3,-6.21,-9.51
0.069733574,6.97,4.99,-2.74,2.25
0.040987267,4.1,-4.11,2.42,-1.69
-0.033027756,-3.3,6.97,-6.57,0.4
0.022579421,2.26,5.52,2.32,7.84
-0.037467903,-3.75,13.63,-3.93,9.7
-0.059559934,-5.96,6.6,6.7,13.3
-0.004110855,-0.41,4.63,3.44,8.07
0.059223065,5.92,-0.98,4.42,3.44
0.034671511,3.47,5.08,-6.78,-1.7
-0.052714154,-5.27,-3.39,4.35,0.96
-0.033052337,-3.31,-0.19,3.38,3.19
0.054340624,5.43,-4.02,-7.3,-11.32
0.012381784,1.24,1.04,5.6,6.64
0.004103743,0.41,1.4,4.96,6.36
0.076494774,7.65,2.31,-6.22,-3.91
-0.105385439,-10.54,-0.62,0.17,-0.45
-0.009036335,-0.9,-4.73,-3.13,-7.86
-0.047280568,-4.73,4.94,-4.16,0.78
-0.008510296,-0.85,-3.58,3.61,0.03
0.037597616,3.76,1.4,-7.44,-6.04
0.065020197,6.5,3.56,-7.37,-3.81
0.030862656,3.09,-4.36,4.57,0.21
-0.000285167,-0.03,2.78,-3.48,-0.7
0.048909061,4.89,1.98,-6.06,-4.08
-0.032731653,-3.27,-3.32,0.43,-2.89
-0.091292108,-9.13,-1.15,5.18,4.03
0.061868253,6.19,1.78,-4.11,-2.33
-0.042513223,-4.25,7.51,0.52,8.03
0.051487139,5.15,5.1,5.06,10.16
0.017639105,1.76,4.89,-4.78,0.11
0.04156564,4.16,4.44,-7.31,-2.87
0.046420863,4.64,-5.1,-3.55,-8.65
0.039580478,3.96,2.15,-3.01,-0.86
-0.042570524,-4.26,3.51,-6.06,-2.55
-0.058570076,-5.86,5.13,7.47,12.6
-0.011909652,-1.19,4.05,-4.27,-0.22
-0.021528816,-2.15,4.43,1.68,6.11
-0.044312935,-4.43,2.26,-0.99,1.27
0.014555579,1.46,2.64,-6.75,-4.11
0.038129708,3.81,3.23,-1.83,1.4
-0.003258461,-0.33,-4.25,-5.78,-10.03
0.070734745,7.07,-6.97,-0.72,-7.69
-0.081735555,-8.17,-9.29,-0.19,-9.48
0.05601016,5.6,1.87,2.44,4.31
0.01562507,1.56,1.25,1.94,3.19
-0.03804926,-3.8,-2.31,-6.33,-8.64
0.068114852,6.81,-16.22,2.65,-13.57
-0.094905476,-9.49,-6.93,-3.46,-10.39
0.028098839,2.81,-2.68,-0.44,-3.12
-0.04982491,-4.98,0.03,6.93,6.96
0.044834882,4.48,5.7,-6.11,-0.41
0.067621859,6.76,1.35,2.31,3.66
0.060457883,6.05,4.61,-1.14,3.47
0.002191049,0.22,1.75,-0.71,1.04
-0.065184983,-6.52,0.59,-5.59,-5
-0.025870622,-2.59,7.1,5.01,12.11
-0.047372471,-4.74,2.86,-6.12,-3.26
-0.018785895,-1.88,4.81,3.89,8.7
0.007231818,0.72,-4.95,-6.77,-11.72
0.055049056,5.5,1.3,-2.31,-1.01
-0.039110164,-3.91,4.22,-2.96,1.26
0.010514153,1.05,4.79,-1.34,3.45
0.017911184,1.79,7.27,-4.22,3.05
-0.014282114,-1.43,-0.82,-5.5,-6.32
0.022387176,2.24,3.18,-4.6,-1.42
0.052972424,5.3,-1.23,7.54,6.31
0.034891916,3.49,4.42,4.69,9.11
0.049318541,4.93,-2.15,-6.48,-8.63
0.013598998,1.36,6.25,-7.07,-0.82
0.01194935,1.19,-0.03,5.42,5.39
-0.077137871,-7.71,-0.1,-6.54,-6.64
0.075969657,7.6,-3.29,-5.54,-8.83
0.018348893,1.83,-5.35,-2.38,-7.73
0.037706361,3.77,3.87,-3.84,0.03
-0.024322935,-2.43,-4.9,4.03,-0.87
-0.012037437,-1.2,2.72,-4.04,-1.32
0.03666887,3.67,2.69,7.6,10.29
0.072889789,7.29,-6.45,2.51,-3.94
0.039845425,3.98,-1.72,-0.28,-2
0.013522128,1.35,2.3,-3.63,-1.33
-0.04253162,-4.25,0.68,6.36,7.04
-0.059195151,-5.92,-7.86,5.98,-1.88
-0.077136503,-7.71,1.01,0.11,1.12
-0.028189568,-2.82,-3.43,-2.93,-6.36
-0.077168236,-7.72,3.03,1.19,4.22
-0.015842832,-1.58,-8.66,4.89,-3.77
0.073233387,7.32,3.07,4.28,7.35
-0.069830134,-6.98,6.68,2.24,8.92
-0.077471842,-7.75,-17.54,2.92,-14.62
0.059764056,5.98,-3.97,-1.14,-5.11
0.042951182,4.3,-5.13,4.02,-1.11
0.028673531,2.87,-4.52,6.92,2.4
0.019981439,2,4.74,4.09,8.83
-0.046938327,-4.69,3.87,-3.67,0.2
-0.076542828,-7.65,5.92,6.59,12.51
0.048953748,4.9,3.9,1.52,5.42
-0.026685287,-2.67,0.96,0.14,1.1
0.056330145,5.63,5.27,-3.83,1.44
0.050481958,5.05,-7.48,2.71,-4.77
0.007906833,0.79,-2.55,4.78,2.23
-0.000851205,-0.09,5.44,3.14,8.58
-0.055321646,-5.53,-7.29,1.69,-5.6
-0.013297706,-1.33,5.72,-0.45,5.27
0.029788902,2.98,0.62,-3.26,-2.64
-0.043216769,-4.32,2.88,1.25,4.13
0.055299563,5.53,5.82,-1.61,4.21
-0.118308991,-11.83,-13.64,-0.35,-13.99
-0.087501739,-8.75,4.22,4.34,8.56
-0.022351521,-2.24,-9.85,7.19,-2.66
0.035243308,3.52,-9.51,-4.04,-13.55
0.036452773,3.65,-2.4,-2.42,-4.82
0.052194225,5.22,-0.07,6.04,5.97
-0.032597577,-3.26,5.31,4.06,9.37
-0.030446823,-3.04,-6.91,-3.55,-10.46
-0.043759195,-4.38,5.92,-5.8,0.12
0.060015746,6,5.29,0.61,5.9
-0.01063745,-1.06,3.24,-4.99,-1.75
0.044193385,4.42,-4.12,-3.38,-7.5
0.054770343,5.48,6.92,-0.44,6.48
-0.058095001,-5.81,-3.94,-1.01,-4.95
0.056627417,5.66,8.01,-6.42,1.59
-0.022030516,-2.2,5.76,4.27,10.03
0.033992468,3.4,-4.95,-6.13,-11.08
-0.023256063,-2.33,5.56,4.73,10.29
-0.062986187,-6.3,5.92,-3.06,2.86
0.021147032,2.11,4.23,-0.35,3.88
0.055915504,5.59,-7.78,4.34,-3.44
0.010889182,1.09,0,7.19,7.19
0.00385822,0.39,8.28,-4.04,4.24
0.020428747,2.04,2.73,-2.42,0.31
0.072283962,7.23,-5.36,6.04,0.68
-0.047298903,-4.73,3.01,4.06,7.07
0.021935501,2.19,5.34,-3.55,1.79
0.03381824,3.38,5.17,-5.8,-0.63
-0.046538751,-4.65,2.87,0.61,3.48
-0.04560168,-4.56,-4.92,-4.99,-9.91
0.050016554,5,4.58,-4.99,-0.41
-0.029116792,-2.91,4.67,-3.99,0.68
-0.031213605,-3.12,-4.57,4.34,-0.23
-0.127733065,-12.77,5.92,7.19,13.11
-0.053313123,-5.33,-2.27,-4.04,-6.31
-0.043731108,-4.37,-0.54,-2.42,-2.96
0.001851228,0.19,-17.49,6.04,-11.45
0.043933233,4.39,4.25,4.06,8.31
0.024892257,2.49,-3.08,-3.55,-6.63
-0.005050425,-0.51,4.14,-5.8,-1.66
0.034237649,3.42,-2.95,0.61,-2.34
-0.10260449,-10.26,-0.8,-4.99,-5.79
0.023887818,2.39,4.53,-5.8,-1.27
-0.086555496,-8.66,13.03,0.61,13.64
